,anime_id,title,type,source,episodes,airing,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,studio,genre
12076,395,Gantz 2nd Stage,TV,Manga,13,False,"Aug 26, 2004 to Nov 18, 2004",23 min. per ep.,R+ - Mild Nudity,7.22,65804,2717.0,817,106389,403,Summer 2004,Unknown,Fuji TV,Gonzo,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi"
12095,10015,Yu☆Gi☆Oh! Zexal,TV,Manga,73,False,"Apr 11, 2011 to Sep 24, 2012",24 min. per ep.,PG-13 - Teens 13 or older,6.5,14525,5626.0,2038,32044,191,Spring 2011,Unknown,"TV Tokyo, Marvelous, Nihon Ad Systems, Digital Works",Studio Gallop,"Action, Fantasy, Game, Shounen"
12100,21325,Pupipo!,TV,Manga,15,False,"Dec 21, 2013 to Mar 29, 2014",4 min. per ep.,PG - Children,6.87,7508,4049.0,3074,14937,30,Winter 2014,Saturdays at 01:53 (JST),TV Tokyo,AIC Plus+,"Slice of Life, Comedy, Supernatural, School"
12121,21507,Soul Eater NOT!,TV,Manga,12,False,"Apr 9, 2014 to Jul 2, 2014",23 min. per ep.,PG-13 - Teens 13 or older,6.22,56283,6704.0,717,119831,169,Spring 2014,Unknown,"TV Tokyo, Dentsu, Square Enix, Sony Music Communications",Bones,"Action, Comedy, Ecchi, Shounen, Supernatural"
12122,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,Light novel,13,False,"Apr 3, 2015 to Jun 26, 2015",24 min. per ep.,PG-13 - Teens 13 or older,8.29,221377,254.0,150,356402,9592,Spring 2015,Fridays at 01:28 (JST),"TBS, Marvelous AQL, NBCUniversal Entertainment Japan",feel.,"Slice of Life, Comedy, Drama, Romance, School"
12132,20931,Oneechan ga Kita,TV,4-koma manga,12,False,"Jan 9, 2014 to Mar 27, 2014",3 min. per ep.,PG-13 - Teens 13 or older,6.49,33133,5650.0,1317,61668,53,Winter 2014,Unknown,"Takeshobo, Studio CHANT",C2C,"Comedy, Slice of Life"
12139,4087,Michiko to Hatchin,TV,Original,22,False,"Oct 16, 2008 to Mar 19, 2009",22 min. per ep.,R - 17+ (violence & profanity),7.88,34621,743.0,841,103432,1417,Fall 2008,Unknown,"Media Factory, Shochiku, Yomiko Advertising, Fuji TV",Manglobe,"Action, Adventure"
12140,16512,Devil Survivor 2 The Animation,TV,Game,13,False,"Apr 5, 2013 to Jun 28, 2013",24 min. per ep.,R - 17+ (violence & profanity),7.02,58263,3491.0,681,123859,491,Spring 2013,Unknown,"Mainichi Broadcasting System, Pony Canyon, Showgate, Index",Bridge,"Action, Demons, Supernatural"
12141,2602,Kenkou Zenrakei Suieibu Umishou,TV,Manga,13,False,"Jul 4, 2007 to Sep 26, 2007",25 min. per ep.,PG-13 - Teens 13 or older,7.22,13495,2725.0,2143,29296,84,Summer 2007,Unknown,"Geneon Universal Entertainment, Marvelous, Pony Canyon, Pony Canyon Enterprise",Artland,"Comedy, Sports, Ecchi, School, Shounen"
12150,34393,Room Mate,TV,Original,12,False,"Apr 12, 2017 to Jun 28, 2017",4 min. per ep.,PG-13 - Teens 13 or older,4.9,4130,9117.0,3295,13080,27,Spring 2017,Wednesdays at 22:40 (JST),Smiral Animation,TYPHOON GRAPHICS,"Harem, Slice of Life"
